"J. Cole",257920,4qRjfovbhI4EwP7VQNfxVW,"St. Tropez",1523857586.64
"Luke Tennyson",138959,4dNwzB7yuTf8jSYZSlok7C,"Favorite Colors (feat. Kyle)",1523857441.845
"John Lennon",112040,4bN43jYf41eIjJZ3UXQpuA,"Hold On - 2010 - Remaster",1523857323.536
"Dom Kennedy",149639,5JpkV4nf0RwaIBQZgpO4pM,"Thank You Biggie",1523857177.982
"Kool G Rap",242573,1vjSc13n9xGrQo364x2z0W,"It's A Shame",1523857131.584
"Wildcookie",175171,3EKzH4moV9wWTkVEdgz91A,"Serious Drug",1523856960.69
"Kendrick Lamar",173158,5DO1SazQppcsKQ1c1JpyQz,"Hol' Up",1523856756.596
"Kendrick Lamar",350001,2FTGmG9PvlXEERkb1sYBE3,"Ab-Souls Outro",1523856442.8
"Kendrick Lamar",168591,2b3KgzISdjZVNPJJ1945nw,"Rigamortus",1523856038.423
"Tim Atlas",226234,0TLHUakjgTs8KaSoCm0e8v,"Compromised",1523855816.299
"Kendrick Lamar",261874,2NxIp9jbmsnaIiAExWOEo0,"Poe Mans Dreams (His Vice)",1523855373.531
"Kanye West",221226,3KUpGMnZL76I9E7FoWV1re,"Through The Wire",1523855124.83
"Dirty Art Club",124884,0jHtHzXJtAbLOMeftlsYTb,"Just A Memory",1523854921.499
"Evil Needle",184032,7pYRJC4ALLBwW2F5cN04CB,"Moodolude 05",1523854741.535
"Erykah Badu",238733,7pv80uUHfocFqfTytu1MVi,"Didn't Cha Know",1523854488.351
"The Equatics",163946,4X4NrHp5VpibgirzuImxXd,"Merry Go Round",1523854328.7
"Curren$y",270000,1WoMECBENsiT6jUttDsai7,"Moonlight (feat. Cornerboy P & Young Roddy)",1523854052.134
"Curren$y",279333,4b5aWF2FngmnDprxK7AyCh,"Fetti",1523853762.373
"Chuuwee",271777,4IiI9lpobMyEbhV5VstNs7,"Nothin' At All (feat. Skoolie 300)",1523771100.017
"Domo Genesis",161653,1WsRuvitfegWXQJKRgRZrj,"Coming Back",1523770942.677
"Pac Div",190293,1bocsPVgT66iWvfZhdFFd2,"Bank",1523770750.587
"Domo Genesis",172840,2q35pHabpVH0UPBfDXskvP,"Rolling Papers",1523770580.953
"Curren$y",181211,1Lv5ScZ5HYn0JqSPAlnMPZ,"Landed",1523770403.745
"Jay Rock",243247,6mDBmG64QSg09onp4DsGX8,"Gumbo",1523770185.384
"Pusha T",216053,5c7yH6ivcTqyHcMkHWTiFY,"Nosetalgia",1523770127.187
"Jay Rock",245466,6i6cWTCYBOKEdJnWjzm2yk,"Hood Gone Love It (feat. Kendrick Lamar)",1523769860.076
"Pac Div",240000,7ywfDHJQsescIHVtnCmtWu,"The Return (feat. Ty$)",1523769504.541
"Curren$y",212076,1wzXGFJ3CQobC3KKyYBRZz,"Stoned On Ocean",1523769295.688
"Statik Selektah",205333,6KkulkSeRHtcL4PsxvYwZd,"Alarm Clock",1523769093.53
"Freddie Gibbs",169106,7udJESHhtJ6k2TW9XfiwES,"Harold’s",1523768928.586
"Chuuwee",200503,6GFPH4i0jmbQ05OmuJnL2s,"May I",1523768715.109
"Dom Kennedy",261176,3elZjWWqIVijinJPXVzO4E,"Graduate",1523768457.389
"Freddie Gibbs",183320,5sesHCQziHg85y8dlnNWJC,"Shame (feat. BJ The Chicago Kid)",1523768256.918
"Jay Rock",263346,2iAPQ5Stbj7CIUThV8Udxq,"Say Wassup (feat. Sc Hoolboy Q, Ab Soul & Kendrick Lamar)",1523768204.441
"Curren$y",279333,4b5aWF2FngmnDprxK7AyCh,"Fetti",1523767928.872
"Freddie Gibbs",199053,2uB9gUU1HLnHckvK2tylJM,"Deeper",1523767742.092
"Dom Kennedy",168315,6e2cZadrpYLe635arJ4ywB,"323 Go Crazy",1523766851.684
"Jay Electronica",331452,2TcWNtN8aiBHAS4DWVvpPb,"Exhibit C",1523766503.65
"Freddie Gibbs",269333,1P52hTSOxBb4SULJYDWrwg,"Homesick",1523766296.558
"Pac Div",216500,6CcpEqx6VbUTjWxlLiF83u,"Stoked",1523766244.897
"Pac Div",225999,6NUtx7cxxeErZqaiTW1ikF,"Players Of The Year",1523766020.006
"Pac Div",232500,0Io8vVaZcG4a10urnblF2H,"Circle",1523765759.624
"Pac Div",207999,5Wn4rYs6sgA9QWFDUrRWnN,"Apt 10",1523765717.585
"Pac Div",235999,2P30BAhlODkMCZdW0xj8hW,"Summertime Fine",1523765456.574
"Pac Div",245500,4Jhj2ENdSzfywn3GGNidPy,"5 Dolla Bill",1523765212.163
"Pac Div",264293,0TACyW6ygrDnma7UVOL4Nn,"Cross-Trainers (feat. Kendrick Lamar & Blu)",1523765037.364
"Drake",210925,1cTZMwcBJT0Ka3UJPXOeeN,"Nice For What",1523764799.177
"Curren$y",270000,1WoMECBENsiT6jUttDsai7,"Moonlight (feat. Cornerboy P & Young Roddy)",1523764536.834
"Jay Rock",245466,6i6cWTCYBOKEdJnWjzm2yk,"Hood Gone Love It (feat. Kendrick Lamar)",1523764295.674
